CO,NO2,Ozone,PM10,PM25,Datetime,Lat,Lon
201.94,0.14,52.21,16.09,3.66,"30/08/2023,20:48:10",-8.1646,128.4753
203.61,0.02,72.24,22.23,5.61,"30/08/2023,20:47:35",-8.3016,-7.227
170.23,0.0,41.84,0.51,0.5,"30/08/2023,20:47:10",-80.1433,44.4354
198.6,0.0,40.77,0.5,0.5,"30/08/2023,20:47:33",-80.1776,148.3576
247.0,0.0,47.92,0.63,0.54,"30/08/2023,20:47:58",-80.3771,-178.3135
181.91,0.0,41.49,0.5,0.5,"30/08/2023,20:48:21",-80.3909,113.1016
243.66,0.0,61.51,0.5,0.5,"30/08/2023,20:47:59",-80.558,-76.1765
213.62,0.0,46.49,0.5,0.5,"30/08/2023,20:48:12",-81.1917,-16.8561
170.23,0.0,41.49,0.51,0.5,"30/08/2023,20:47:37",-81.4978,86.4874
250.34,0.0,52.93,0.59,0.5,"30/08/2023,20:47:50",-81.7448,-179.7313
196.93,0.0,58.65,0.5,0.5,"30/08/2023,20:47:44",-81.9813,154.5651
216.96,0.0,48.64,0.5,0.5,"30/08/2023,20:48:12",-82.8573,-37.0771
216.96,0.0,48.64,0.5,0.5,"30/08/2023,20:48:22",-83.0619,-33.2987
176.91,0.0,39.34,0.53,0.5,"30/08/2023,20:47:03",-83.2034,85.2512
236.99,0.0,54.36,0.5,0.5,"30/08/2023,20:47:35",-83.3573,-144.2028
173.57,0.0,45.06,0.51,0.5,"30/08/2023,20:47:29",-83.8339,61.5151
178.58,0.0,45.06,0.5,0.5,"30/08/2023,20:48:06",-83.8551,41.8115
247.0,0.0,66.52,0.52,0.5,"30/08/2023,20:47:50",-84.5451,-172.5606
175.24,0.0,44.7,0.51,0.5,"30/08/2023,20:47:26",-84.7366,62.1227
195.27,0.0,47.92,0.5,0.5,"30/08/2023,20:47:33",-85.1603,22.6974
210.29,0.0,60.08,0.5,0.5,"30/08/2023,20:48:11",-85.8279,-150.666
195.27,0.0,55.79,0.51,0.5,"30/08/2023,20:47:48",-86.0244,-98.7231
205.28,0.0,51.5,0.5,0.5,"30/08/2023,20:48:22",-86.506,-72.3762
183.58,0.0,36.84,0.5,0.5,"30/08/2023,20:48:15",-86.5203,110.6591
180.24,0.0,46.49,0.5,0.5,"30/08/2023,20:47:13",-86.6524,171.8228
186.92,0.0,42.92,0.5,0.5,"30/08/2023,20:47:12",-87.296,47.3606
188.59,0.0,41.49,0.51,0.5,"30/08/2023,20:48:20",-87.6787,63.5778
183.58,0.0,39.34,0.5,0.5,"30/08/2023,20:48:43",-88.0692,119.9466
186.92,0.0,41.49,0.51,0.5,"30/08/2023,20:48:11",-88.5628,68.6458
186.92,0.0,43.27,0.5,0.5,"30/08/2023,20:48:39",-89.1334,67.4841
190.26,0.0,43.63,0.5,0.5,"30/08/2023,20:47:53",-89.4623,94.4171
191.93,0.0,41.84,0.5,0.5,"30/08/2023,20:47:22",-89.6914,-144.1173
250.34,0.01,1.39,1.03,0.98,"30/08/2023,20:47:34",0.4872,15.6132
206.95,1.5,28.61,6.57,3.72,"30/08/2023,20:48:28",0.5825,121.204
211.95,0.02,33.98,15.37,3.92,"30/08/2023,20:48:09",0.7945,-98.5602
181.91,0.02,22.53,3.16,2.22,"30/08/2023,20:48:17",0.8514,-162.4499
216.96,0.23,50.78,2.53,1.84,"30/08/2023,20:48:26",0.9679,38.6239
198.6,0.01,42.2,9.78,3.57,"30/08/2023,20:47:08",1.4913,-17.7325
181.91,0.03,42.92,14.33,4.3,"30/08/2023,20:47:58",1.5647,-23.7045
190.26,0.03,14.13,1.01,0.5,"30/08/2023,20:47:23",1.6632,161.5779
226.97,0.08,4.25,0.63,0.5,"30/08/2023,20:47:08",10.2589,24.5157
178.58,0.19,28.25,8.32,5.15,"30/08/2023,20:47:52",10.6375,71.4528
198.6,0.02,17.52,5.26,1.34,"30/08/2023,20:47:24",12.0117,-119.3431
236.99,0.33,38.98,7.12,3.94,"30/08/2023,20:48:24",13.1192,119.2501
200.27,0.02,21.1,4.93,3.3,"30/08/2023,20:48:45",14.5184,167.5659
163.56,0.01,34.33,14.17,4.03,"30/08/2023,20:47:52",14.6512,176.5981
250.34,0.07,26.82,38.33,7.88,"30/08/2023,20:47:41",14.7113,30.0945
247.0,0.15,27.18,8.83,4.43,"30/08/2023,20:47:34",16.6283,-67.5173
243.66,0.72,50.07,2.96,1.77,"30/08/2023,20:47:05",17.0255,120.0084
263.69,0.01,20.74,19.97,5.57,"30/08/2023,20:48:01",17.1424,-46.1523
257.02,0.18,32.9,16.87,5.94,"30/08/2023,20:47:07",18.2712,-64.8777
290.39,4.88,39.7,27.92,22.1,"30/08/2023,20:48:28",19.418,77.215
273.71,0.18,33.98,7.32,3.0,"30/08/2023,20:48:34",19.4698,-17.3803
363.83,0.85,105.86,36.13,16.02,"30/08/2023,20:48:24",19.5182,124.048
363.83,0.31,60.08,14.31,5.65,"30/08/2023,20:47:42",19.7017,-79.1001
183.58,0.03,81.54,47.04,9.29,"30/08/2023,20:48:24",19.9481,-32.8389
250.34,0.02,29.68,5.57,3.46,"30/08/2023,20:47:55",2.0857,-87.6227
168.56,0.05,16.27,1.18,0.58,"30/08/2023,20:47:11",2.1203,70.3457
176.91,0.02,32.19,6.72,2.04,"30/08/2023,20:48:06",2.8489,-147.9597
175.24,0.07,40.41,11.96,3.53,"30/08/2023,20:47:47",20.1244,166.0799
821.11,11.65,10.82,56.25,48.6,"30/08/2023,20:47:48",20.2868,105.2806
216.96,2.29,17.52,14.74,9.84,"30/08/2023,20:47:40",20.3663,73.9003
270.37,0.22,101.57,39.47,38.02,"30/08/2023,20:48:35",21.3646,-96.9687
907.9,10.63,28.25,179.53,159.59,"30/08/2023,20:47:56",22.6282,87.3344
200.27,1.11,81.54,42.01,13.67,"30/08/2023,20:47:03",22.6959,-17.762
223.64,0.26,73.67,25.04,13.35,"30/08/2023,20:48:14",23.5801,-109.2072
210.29,0.29,124.45,29.41,14.57,"30/08/2023,20:48:00",24.3427,34.8169
263.69,0.16,38.98,4.23,2.11,"30/08/2023,20:47:31",24.5427,-61.9049
260.35,0.09,36.48,128.54,25.96,"30/08/2023,20:47:22",24.8488,-0.9103
213.62,0.89,175.95,126.77,38.04,"30/08/2023,20:47:57",25.0511,45.4637
161.89,0.12,79.39,20.03,4.98,"30/08/2023,20:47:16",25.6787,-140.9474
196.93,0.1,80.82,8.85,3.47,"30/08/2023,20:48:19",26.9054,-156.9498
198.6,5.57,88.69,85.71,19.77,"30/08/2023,20:47:06",27.641,46.2991
