,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
1488,Japan,Tadotsu,45,Good,1,Good,45,Good,1,Good,26,Good,34.2729,133.7586
1499,Indonesia,Ternate,22,Good,1,Good,16,Good,0,Good,22,Good,0.78,127.3819
1500,Indonesia,Ternate,22,Good,1,Good,16,Good,0,Good,22,Good,14.2833,120.7167
1568,United Kingdom,Broadstairs,41,Good,0,Good,35,Good,1,Good,41,Good,51.3589,1.4394
1628,Italy,Piombino,40,Good,1,Good,40,Good,0,Good,19,Good,42.9348,10.5221
1634,Bulgaria,Pomorie,40,Good,1,Good,40,Good,0,Good,25,Good,42.5683,27.6167
1643,Spain,Puerto Real,32,Good,1,Good,32,Good,2,Good,32,Good,36.5292,-6.1919
1651,United Kingdom,Rottingdean,52,Moderate,1,Good,28,Good,5,Good,52,Moderate,50.815,-0.065
1664,Japan,Sakaiminato,44,Good,1,Good,44,Good,0,Good,34,Good,35.5333,133.2333
1676,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,37.3012,-121.848
1677,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,12.3528,121.0676
1678,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,15.7919,120.99
1679,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,10.7433,121.9411
1680,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,10.18,125.5683
1681,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,13.8772,121.105
1682,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,13.6981,123.5186
1683,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,10.0083,125.5889
1684,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,9.4167,123.2333
1685,Costa Rica,San Jose,45,Good,1,Good,17,Good,0,Good,45,Good,12.531,124.487
1718,Italy,Savona,37,Good,1,Good,37,Good,2,Good,34,Good,44.308,8.481
1734,Portugal,Sines,34,Good,1,Good,34,Good,3,Good,31,Good,37.9547,-8.8644
1799,United States of America,Keansburg,77,Moderate,2,Good,45,Good,6,Good,77,Moderate,40.4469,-74.1315
1811,United States of America,Juneau,28,Good,0,Good,25,Good,2,Good,28,Good,58.4546,-134.1739
1883,Spain,Santa Pola,33,Good,1,Good,32,Good,2,Good,33,Good,38.1897,-0.5556
1908,Turkey,Sinop,47,Good,1,Good,33,Good,0,Good,47,Good,-11.8481,-55.6492
1909,Turkey,Sinop,47,Good,1,Good,33,Good,0,Good,47,Good,42.0267,35.1511
1969,Japan,Futtsu,49,Good,1,Good,42,Good,2,Good,49,Good,35.3041,139.857
1976,Philippines,Gingoog,45,Good,1,Good,25,Good,0,Good,45,Good,8.8167,125.1
2066,Indonesia,Balikpapan,27,Good,1,Good,19,Good,0,Good,27,Good,-1.2768,116.8277
2119,Australia,Gold Coast,28,Good,0,Good,28,Good,3,Good,21,Good,-28.0167,153.4
2135,Sri Lanka,Hambantota,53,Moderate,1,Good,17,Good,2,Good,53,Moderate,6.1244,81.1225
2165,Mexico,Isla Mujeres,29,Good,0,Good,29,Good,0,Good,12,Good,21.2084,-86.7115
2217,Italy,Santa Flavia,61,Moderate,1,Good,47,Good,0,Good,61,Moderate,38.0833,13.5333
2247,Italy,Crotone,44,Good,1,Good,44,Good,0,Good,44,Good,39.0833,17.1167
2308,Italy,Vieste,66,Moderate,1,Good,59,Moderate,0,Good,66,Moderate,41.8833,16.1667
2338,Peru,Moche,31,Good,1,Good,15,Good,1,Good,31,Good,-8.1706,-79.0094
2364,Japan,Namerikawa,43,Good,1,Good,43,Good,0,Good,24,Good,36.7644,137.3412
2462,France,Menton,108,Unhealthy for Sensitive Groups,2,Good,28,Good,4,Good,108,Unhealthy for Sensitive Groups,43.775,7.5
2707,Tanzania,Zanzibar,39,Good,1,Good,20,Good,0,Good,39,Good,-6.165,39.199
2722,Comoros,Domoni,30,Good,0,Good,30,Good,0,Good,21,Good,-12.2586,44.5303
2848,United States of America,Anacortes,97,Moderate,1,Good,25,Good,10,Good,97,Moderate,48.4878,-122.6292
2878,The Gambia,Banjul,151,Unhealthy,1,Good,25,Good,1,Good,151,Unhealthy,13.4531,-16.5775
2929,United States of America,New York,70,Moderate,2,Good,20,Good,18,Good,70,Moderate,40.6943,-73.9249
2986,Spain,Alcudia,101,Unhealthy for Sensitive Groups,1,Good,49,Good,1,Good,101,Unhealthy for Sensitive Groups,39.8525,3.1192
